Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG,npxG,xA,npxG+xAG,xG90,xA90,xG+xA90,npxG90,npxG+xA90,
Mason Mount,eng ENG,"MF,FW",23-352,15,14,"1,120",12.4,3,2,3,0,0,2,0,0.24,0.16,0.4,0.24,0.4,1.7,1.7,1.9,3.5,0.13,0.15,0.28,0.13,0.28,
Thiago Silva,br BRA,DF,38-097,13,12,"1,164",12.9,0,2,0,0,0,1,0,0,0.15,0.15,0,0.15,0.5,0.5,0.4,0.8,0.03,0.03,0.06,0.03,0.06,
Raheem Sterling,eng ENG,"FW,MF",28-020,13,12,"1,037",11.5,3,2,3,0,0,3,0,0.26,0.17,0.43,0.26,0.43,3.1,3.1,2.9,5.9,0.27,0.25,0.52,0.27,0.52,
Jorginho,it ITA,MF,31-008,14,12,993,11,2,0,0,2,2,3,0,0.18,0,0.18,0,0,1.7,0.1,0.3,0.5,0.15,0.03,0.18,0.01,0.04,
Kai Havertz,de GER,"FW,MF",23-200,14,12,973,10.8,4,1,4,0,0,3,0,0.37,0.09,0.46,0.37,0.46,3.6,3.6,0.7,4.3,0.33,0.07,0.4,0.33,0.4,
Ruben Loftus-Cheek,eng ENG,"MF,DF",26-339,14,12,954,10.6,0,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,0.9,1.8,0.08,0.09,0.17,0.08,0.17,
Marc Cucurella,es ESP,DF,24-159,14,12,937,10.4,0,2,0,0,0,2,0,0,0.19,0.19,0,0.19,0.3,0.3,0.4,0.7,0.03,0.04,0.07,0.03,0.07,
Kalidou Koulibaly,sn SEN,DF,31-191,10,9,832,9.2,1,0,1,0,0,4,1,0.11,0,0.11,0.11,0.11,0.4,0.4,0.2,0.6,0.05,0.02,0.06,0.05,0.06,
Edouard Mendy,sn SEN,GK,30-302,9,8,765,8.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trevoh Chalobah,eng ENG,DF,23-176,9,8,723,8,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.3,0.04,0,0.04,0.04,0.04,
César Azpilicueta,es ESP,DF,33-122,12,7,710,7.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.8,0.9,0.02,0.1,0.11,0.02,0.11,
Reece James,eng ENG,"DF,MF",23-020,8,7,611,6.8,1,1,1,0,0,3,0,0.15,0.15,0.29,0.15,0.29,0.8,0.8,1.6,2.4,0.12,0.23,0.35,0.12,0.35,
Kepa Arrizabalaga,es ESP,GK,28-086,7,7,585,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conor Gallagher,eng ENG,"MF,FW",22-325,13,7,507,5.6,1,1,1,0,0,3,1,0.18,0.18,0.36,0.18,0.36,0.7,0.7,1.3,2,0.13,0.22,0.35,0.13,0.35,
Mateo Kovačić,hr CRO,MF,28-236,11,5,635,7.1,0,1,0,0,0,2,0,0,0.14,0.14,0,0.14,0.3,0.3,0.5,0.8,0.05,0.07,0.12,0.05,0.12,
Christian Pulisic,us USA,"FW,DF",24-101,14,4,502,5.6,1,1,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36,1.1,1.1,0.5,1.6,0.2,0.09,0.29,0.2,0.29,
Ben Chilwell,eng ENG,"DF,MF",26-007,9,4,419,4.7,1,1,1,0,0,1,0,0.21,0.21,0.43,0.21,0.43,0.3,0.3,0.1,0.5,0.07,0.03,0.1,0.07,0.1,
Pierre-Emerick Aubameyang,ga GAB,FW,33-193,7,4,314,3.5,1,0,1,0,0,1,0,0.29,0,0.29,0.29,0.29,0.2,0.2,0.3,0.6,0.07,0.1,0.17,0.07,0.17,
Armando Broja,al ALB,FW,21-109,12,2,294,3.3,1,0,1,0,0,0,0,0.31,0,0.31,0.31,0.31,0.8,0.8,0.1,0.9,0.26,0.02,0.27,0.26,0.27,
Wesley Fofana,fr FRA,DF,22-011,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,
N'Golo Kanté,fr FRA,MF,31-274,2,2,174,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.05,0.13,0.18,0.05,0.18,
Hakim Ziyech,ma MAR,"MF,FW",29-284,5,1,152,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.09,0.07,0.16,0.09,0.16,
Denis Zakaria,ch SUI,MF,26-038,1,1,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.21,0,0.21,0.21,0.21,
Lewis Hall,eng ENG,DF,18-111,1,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.17,0.17,0,0.17,
Carney Chukwuemeka,eng ENG,MF,19-069,3,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.17,0.05,0.22,0.17,0.22,
Ethan Ampadu,wls WAL,"DF,MF",22-105,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Bettinelli,eng ENG,GK,30-218,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Billy Gilmour,sct SCO,MF,21-200,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Callum Hudson-Odoi,eng ENG,"FW,MF",22-051,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Bashir Humphreys,eng ENG,DF,19-288,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Omari Hutchinson,eng ENG,DF,19-059,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Harvey Vale,eng ENG,MF,19-108,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,27.9,15,165,"1,350",15,19,14,17,2,2,34,2,1.27,0.93,2.2,1.13,2.07,17.3,15.8,13.2,29,1.15,0.88,2.03,1.05,1.93,
Opponent Total,,,27,15,165,"1,350",15,15,11,15,0,0,21,0,1,0.73,1.73,1,1.73,19.9,19.9,16,35.9,1.32,1.07,2.39,1.32,2.39,
